element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,name
1,2,20,0,True,2024-08-17T14:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,0,2923,0,0,Fábio Ferreira Vieira
1,11,2,0,False,2024-08-24T16:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,-790,2321,84,874,Fábio Ferreira Vieira
1,21,5,0,True,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-279,2397,355,634,Fábio Ferreira Vieira
1,39,18,0,False,2024-09-15T13:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-747,1650,0,747,Fábio Ferreira Vieira
1,47,13,0,False,2024-09-22T15:30:00Z,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-174,1494,0,174,Fábio Ferreira Vieira
1,51,11,0,True,2024-09-28T14:00:00Z,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-110,1387,0,110,Fábio Ferreira Vieira
1,61,17,0,True,2024-10-05T14:00:00Z,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-75,1312,0,75,Fábio Ferreira Vieira
1,71,3,0,False,2024-10-19T16:30:00Z,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-53,1260,0,53,Fábio Ferreira Vieira
1,81,12,0,True,2024-10-27T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-19,1241,0,19,Fábio Ferreira Vieira
1,96,15,0,False,2024-11-02T12:30:00Z,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-9,1232,0,9,Fábio Ferreira Vieira
1,103,6,0,False,2024-11-10T16:30:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-18,1215,0,18,Fábio Ferreira Vieira
2,2,20,0,True,2024-08-17T14:00:00Z,2,0,1,5,0,0,0,0,0,0,0,1,0,0,0,1,0.2,0.8,0.0,0.1,0,0.00,0.00,0.00,0.15,70,0,199810,0,0,Gabriel Fernando de Jesus
2,11,2,0,False,2024-08-24T16:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,69,-53975,176166,12170,66145,Gabriel Fernando de Jesus
2,21,5,0,True,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,68,-72583,106691,3238,75821,Gabriel Fernando de Jesus
2,39,18,1,False,2024-09-15T13:00:00Z,0,1,4,10,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.13,68,-27513,82577,1997,29510,Gabriel Fernando de Jesus
2,47,13,0,False,2024-09-22T15:30:00Z,2,2,5,3,0,0,0,1,0,0,0,1,0,0,0,3,10.0,0.0,0.0,1.0,0,0.00,0.00,0.00,0.69,68,1642,89599,7682,6040,Gabriel Fernando de Jesus
2,51,11,1,True,2024-09-28T14:00:00Z,4,2,6,1,0,0,0,0,0,0,0,0,0,0,0,4,2.0,0.0,17.0,1.9,0,0.11,0.00,0.11,0.00,68,2362,95619,10600,8238,Gabriel Fernando de Jesus
2,61,17,1,True,2024-10-05T14:00:00Z,3,1,7,59,0,0,0,1,0,0,0,0,0,0,0,9,1.8,31.5,16.0,4.9,1,0.38,0.06,0.44,0.32,68,-1821,97477,6898,8719,Gabriel Fernando de Jesus
2,71,3,1,False,2024-10-19T16:30:00Z,2,0,8,10,0,0,0,0,0,0,0,0,0,0,0,8,1.0,0.4,6.0,0.7,0,0.00,0.00,0.00,0.00,68,1340,103246,7657,6317,Gabriel Fernando de Jesus
2,81,12,0,True,2024-10-27T16:30:00Z,2,2,9,5,0,0,0,0,0,0,0,1,0,0,0,1,2.0,0.3,21.0,2.3,0,0.18,0.00,0.18,0.00,68,-3526,101196,1944,5470,Gabriel Fernando de Jesus
2,96,15,1,False,2024-11-02T12:30:00Z,1,0,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.2,4.0,0.6,0,0.00,0.01,0.01,0.04,68,-4233,98901,2012,6245,Gabriel Fernando de Jesus
2,103,6,1,False,2024-11-10T16:30:00Z,1,1,11,9,0,0,0,0,0,0,0,0,0,0,0,1,0.8,1.0,0.0,0.2,0,0.00,0.00,0.00,0.04,68,-2957,97572,1427,4384,Gabriel Fernando de Jesus
3,2,20,6,True,2024-08-17T14:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,0,0,0,22,13.8,1.4,8.0,2.3,1,0.12,0.02,0.14,0.47,60,0,1167503,0,0,Gabriel dos Santos Magalhães
3,11,2,6,False,2024-08-24T16:30:00Z,0,2,2,90,0,0,1,0,0,0,0,1,0,0,1,25,21.4,1.9,0.0,2.3,1,0.00,0.02,0.02,1.28,60,-25184,1248259,36723,61907,Gabriel dos Santos Magalhães
3,21,5,2,True,2024-08-31T11:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,17,20.8,20.8,9.0,5.1,1,0.12,0.01,0.13,1.83,60,853,1296327,86679,85826,Gabriel dos Santos Magalhães
3,39,18,15,False,2024-09-15T13:00:00Z,0,1,4,90,1,0,1,0,0,0,0,0,0,0,3,40,58.0,0.7,35.0,9.4,1,0.27,0.00,0.27,0.74,60,-115425,1208425,61041,176466,Gabriel dos Santos Magalhães
3,47,13,7,False,2024-09-22T15:30:00Z,2,2,5,90,1,0,0,2,0,0,0,0,0,0,0,15,56.6,0.8,40.0,9.7,1,0.49,0.01,0.50,2.16,60,131837,1375740,171534,39697,Gabriel dos Santos Magalhães
3,51,11,1,True,2024-09-28T14:00:00Z,4,2,6,90,0,0,0,2,0,0,0,0,0,0,0,7,19.6,7.3,57.0,8.4,1,0.27,0.05,0.32,0.32,61,1006599,2452527,1038827,32228,Gabriel dos Santos Magalhães
3,61,17,2,True,2024-10-05T14:00:00Z,3,1,7,90,0,0,0,1,0,0,0,0,0,0,0,5,4.6,3.7,16.0,2.4,1,0.20,0.04,0.24,0.65,62,328472,2805003,382083,53611,Gabriel dos Santos Magalhães
3,71,3,1,False,2024-10-19T16:30:00Z,2,0,8,90,0,0,0,2,0,0,0,0,0,0,0,5,21.6,1.1,5.0,2.8,1,0.02,0.00,0.02,1.82,62,128228,2960806,194032,65804,Gabriel dos Santos Magalhães
3,81,12,1,True,2024-10-27T16:30:00Z,2,2,9,53,0,0,0,1,0,0,0,0,0,0,0,7,4.4,0.7,0.0,0.5,1,0.00,0.00,0.00,0.39,63,-102913,2845807,112341,215254,Gabriel dos Santos Magalhães
3,96,15,2,False,2024-11-02T12:30:00Z,1,0,10,90,0,0,0,1,0,0,0,0,0,0,0,9,17.6,14.3,2.0,3.4,1,0.00,0.10,0.10,0.53,62,-434195,2413799,27273,461468,Gabriel dos Santos Magalhães
3,103,6,2,False,2024-11-10T16:30:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,14,21.6,12.0,4.0,3.8,1,0.00,0.23,0.23,1.28,62,-93428,2339528,39875,133303,Gabriel dos Santos Magalhães
4,2,20,12,True,2024-08-17T14:00:00Z,2,0,1,90,1,1,1,0,0,0,0,0,0,0,3,48,54.8,24.1,46.0,12.5,1,0.45,0.04,0.49,0.47,80,0,1087445,0,0,Kai Havertz
4,11,2,2,False,2024-08-24T16:30:00Z,0,2,2,90,0,0,1,0,0,0,0,0,0,0,0,-2,0.0,6.1,15.0,2.0,1,0.21,0.03,0.24,1.28,81,285826,1638743,350954,65128,Kai Havertz
4,21,5,8,True,2024-08-31T11:30:00Z,1,1,3,90,1,0,0,1,0,0,0,0,0,0,2,34,47.0,24.8,30.0,10.2,1,0.77,0.05,0.82,1.83,81,63441,1755160,307787,244346,Kai Havertz
4,39,18,2,False,2024-09-15T13:00:00Z,0,1,4,90,0,0,1,0,0,0,0,0,0,0,0,9,19.2,5.4,36.0,6.1,1,0.14,0.00,0.14,0.74,81,-8676,1804099,301692,310368,Kai Havertz
4,47,13,2,False,2024-09-22T15:30:00Z,2,2,5,90,0,0,0,2,0,0,0,0,0,0,0,8,15.0,0.0,17.0,3.2,1,0.06,0.00,0.06,2.16,81,-82509,1733362,108350,190859,Kai Havertz
4,51,11,6,True,2024-09-28T14:00:00Z,4,2,6,90,1,0,0,2,0,0,0,0,0,0,0,25,35.6,8.5,100.0,14.4,1,1.89,0.04,1.93,0.32,82,201708,1961057,419703,217995,Kai Havertz
4,61,17,8,True,2024-10-05T14:00:00Z,3,1,7,90,1,0,0,1,0,0,0,0,0,0,2,34,37.6,14.9,82.0,13.5,1,0.77,0.04,0.81,0.65,82,177244,2162410,293506,116262,Kai Havertz
4,71,3,2,False,2024-10-19T16:30:00Z,2,0,8,90,0,0,0,2,0,0,0,0,0,0,0,4,3.6,3.3,10.0,1.7,1,0.04,0.02,0.06,1.82,83,-176824,1980343,105725,282549,Kai Havertz
4,81,12,2,True,2024-10-27T16:30:00Z,2,2,9,90,0,0,0,2,0,0,0,0,0,0,0,3,4.4,25.3,17.0,4.7,1,0.17,0.47,0.64,0.85,82,-214525,1768961,30424,244949,Kai Havertz
4,96,15,1,False,2024-11-02T12:30:00Z,1,0,10,90,0,0,0,1,0,0,0,1,0,0,0,4,5.6,11.8,4.0,2.1,1,0.00,0.42,0.42,0.53,81,-158755,1625586,45811,204566,Kai Havertz
4,103,6,1,False,2024-11-10T16:30:00Z,1,1,11,90,0,0,0,1,0,0,0,1,0,0,0,2,12.0,13.2,2.0,2.7,1,0.00,0.01,0.01,1.28,80,-367479,1257354,10408,377887,Kai Havertz
5,2,20,0,True,2024-08-17T14:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,0,7300,0,0,Karl Hein
5,11,2,0,False,2024-08-24T16:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-1230,6016,0,1230,Karl Hein
5,21,5,0,True,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-706,5334,0,706,Karl Hein
5,39,18,0,False,2024-09-15T13:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-495,4862,0,495,Karl Hein
5,47,13,0,False,2024-09-22T15:30:00Z,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-226,4663,0,226,Karl Hein
5,51,11,0,True,2024-09-28T14:00:00Z,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-325,4331,0,325,Karl Hein
5,61,17,0,True,2024-10-05T14:00:00Z,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-188,4153,0,188,Karl Hein
5,71,3,0,False,2024-10-19T16:30:00Z,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-142,4010,0,142,Karl Hein
5,81,12,0,True,2024-10-27T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-94,3922,0,94,Karl Hein
5,96,15,0,False,2024-11-02T12:30:00Z,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-101,3823,0,101,Karl Hein
5,103,6,0,False,2024-11-10T16:30:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-91,3722,0,91,Karl Hein
6,2,20,1,True,2024-08-17T14:00:00Z,2,0,1,21,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.8,8.0,0.8,0,0.02,0.01,0.03,0.15,55,0,73714,0,0,Jurriën Timber
6,11,2,6,False,2024-08-24T16:30:00Z,0,2,2,78,0,0,1,0,0,0,0,0,0,0,0,24,3.4,4.7,2.0,1.0,1,0.00,0.01,0.01,1.12,55,-7683,77673,4299,11982,Jurriën Timber
6,21,5,1,True,2024-08-31T11:30:00Z,1,1,3,79,0,0,0,1,0,0,0,1,0,0,0,3,12.8,10.6,4.0,2.7,1,0.00,0.02,0.02,1.55,55,14520,102931,28883,14363,Jurriën Timber
6,39,18,5,False,2024-09-15T13:00:00Z,0,1,4,90,0,0,1,0,0,0,0,1,0,0,0,20,13.4,1.1,7.0,2.2,1,0.05,0.01,0.06,0.74,55,-76,106693,18538,18614,Jurriën Timber
6,47,13,2,False,2024-09-22T15:30:00Z,2,2,5,90,0,0,0,1,0,0,0,0,0,0,0,3,12.0,0.0,0.0,1.2,1,0.00,0.00,0.00,1.68,55,13706,124508,23432,9726,Jurriën Timber
6,51,11,4,True,2024-09-28T14:00:00Z,4,2,6,90,0,1,0,2,0,0,0,0,0,0,0,25,45.6,82.8,11.0,13.9,1,0.21,0.12,0.33,0.32,55,48216,177548,71786,23570,Jurriën Timber
6,61,17,0,True,2024-10-05T14:00:00Z,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,30152,211295,60564,30412,Jurriën Timber
