id,full_name,position
1,Fábio Ferreira Vieira,MID
2,Gabriel Fernando de Jesus,FWD
3,Gabriel dos Santos Magalhães,DEF
4,Kai Havertz,FWD
5,Karl Hein,GK
6,Jurriën Timber,DEF
7,Jorge Luiz Frello Filho,MID
8,Jakub Kiwior,DEF
9,Gabriel Martinelli Silva,MID
12,Ethan Nwaneri,MID
13,Martin Ødegaard,MID
15,David Raya Martin,GK
16,Declan Rice,MID
17,Bukayo Saka,MID
18,William Saliba,DEF
20,Thomas Partey,MID
21,Kieran Tierney,DEF
22,Tomiyasu Takehiro,DEF
23,Leandro Trossard,MID
24,Benjamin White,DEF
25,Oleksandr Zinchenko,DEF
73,Norberto Murara Neto,GK
186,Raheem Sterling,MID
578,Riccardo Calafiori,DEF
597,Myles Lewis-Skelly,MID
633,Mikel Merino,MID
638,Salah-Eddine Oulad M'hand,MID
639,Tommy Setford,GK
657,Maldini Kacurri,DEF
658,Ayden Heaven,DEF
659,Ismeal Kabia,MID
662,Josh Nichols,DEF
665,Nathan Butler-Oyedeji,FWD
28,Leon Bailey,MID
29,Ross Barkley,MID
30,Enzo Barrenechea,MID
31,Emiliano Buendía Stati,MID
32,Matty Cash,DEF
33,Leander Dendoncker,MID
34,Moussa Diaby,MID
35,Diego Carlos Santos Silva,DEF
36,Lucas Digne,DEF
37,Lewis Dobbin,MID
38,Jhon Durán,FWD
39,Joe Gauci,GK
40,Kortney Hause,DEF
41,Samuel Iling-Junior,MID
42,Boubacar Kamara,MID
43,Kaine Kesler-Hayden,DEF
44,Ezri Konsa Ngoyo,DEF
45,Ian Maatsen,DEF
46,Filip Marschall,GK
47,Emiliano Martínez Romero,GK
48,John McGinn,MID
49,Tyrone Mings,DEF
50,Kosta Nedeljković,DEF
51,Robin Olsen,GK
52,Pau Torres,DEF
53,Jacob Ramsey,MID
54,Morgan Rogers,MID
55,Viljami Sinisalo,GK
56,Lino da Cruz Sousa,DEF
57,Youri Tielemans,MID
58,Ollie Watkins,FWD
233,Amadou Onana,MID
569,Jaden Philogene,MID
598,Lamare Bogarde,DEF
640,Sil Swinkels,DEF
