,element,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
0,1,8,0,True,2024-12-14T15:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-11,1167,0,11
1,2,8,1,True,2024-12-14T15:00:00Z,0,0,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,13.0,1.2,0,0.15,0.02,0.17,0.00,68,-855,98617,1732,2587
2,3,8,9,True,2024-12-14T15:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,3,34,26.6,16.5,8.0,5.1,1,0.00,0.04,0.04,0.09,62,-266454,2403720,55731,322185
3,4,8,2,True,2024-12-14T15:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,8,7.0,26.0,23.0,5.6,1,0.06,0.09,0.15,0.09,79,17625,1129192,65418,47793
4,5,8,0,True,2024-12-14T15:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-76,3331,0,76
5,6,8,6,True,2024-12-14T15:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,20,11.0,6.4,14.0,3.1,1,0.00,0.31,0.31,0.09,57,195691,763230,215861,20170
6,7,8,1,True,2024-12-14T15:00:00Z,0,0,16,28,0,0,0,0,0,0,0,0,0,0,0,9,3.6,4.5,0.0,0.8,0,0.00,0.02,0.02,0.00,47,455,26423,1388,933
7,8,8,0,True,2024-12-14T15:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,8702,28525,9785,1083
8,9,8,3,True,2024-12-14T15:00:00Z,0,0,16,73,0,0,1,0,0,0,0,0,0,0,0,5,8.4,28.5,30.0,6.7,1,0.12,0.10,0.22,0.09,67,-19789,282283,12644,32433
9,12,8,1,True,2024-12-14T15:00:00Z,0,0,16,28,0,0,0,0,0,0,0,0,0,0,0,1,0.6,1.4,0.0,0.2,0,0.00,0.01,0.01,0.00,45,362,48746,4712,4350
